"declaration","file","line","mathematical_statement","assumptions","correspondence","dependencies","build_status"
"OBS.CoreBranch.phaseCoupling_sq_le_DK","OBS/CoreBranch/WeightedCauchy.lean","60","theorem phaseCoupling_sq_le_DK (B D K : ℝ) (f g : E → ℝ) (hB : B = ∑ e, f e * g e) (hD : D = ∑ e, f e ^ 2) (hK : K = ∑ e, g e ^ 2) : B ^ 2 ≤ D * K","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.cauchy_norms_nonneg","OBS/CoreBranch/WeightedCauchy.lean","70","theorem cauchy_norms_nonneg (D K : ℝ) (f g : E → ℝ) (hD : D = ∑ e, f e ^ 2) (hK : K = ∑ e, g e ^ 2) : 0 ≤ D ∧ 0 ≤ K","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.generator_row_sum_zero","OBS/FullCompanion/LocalObstruction.lean","40","theorem generator_row_sum_zero (x : Context) : ∀ i, ∑ j, generator x i j = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_uniform_stationary","OBS/FullCompanion/LocalObstruction.lean","46","theorem right_uniform_stationary : ∀ j, ∑ i, uniform i * generator rightContext i j = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_uniform_stationary","OBS/FullCompanion/LocalObstruction.lean","52","theorem left_uniform_stationary : ∀ j, ∑ i, uniform i * generator leftContext i j = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_uniform_is_stationary_law","OBS/FullCompanion/LocalObstruction.lean","57","theorem right_uniform_is_stationary_law : IsStationaryLaw (generator rightContext) uniform","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_uniform_is_stationary_law","OBS/FullCompanion/LocalObstruction.lean","64","theorem left_uniform_is_stationary_law : IsStationaryLaw (generator leftContext) uniform","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_generator_directly_irreducible","OBS/FullCompanion/LocalObstruction.lean","75","theorem right_generator_directly_irreducible : DirectlyIrreducible (generator rightContext)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_generator_directly_irreducible","OBS/FullCompanion/LocalObstruction.lean","81","theorem left_generator_directly_irreducible : DirectlyIrreducible (generator leftContext)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_is_irreducible_markov_generator","OBS/FullCompanion/LocalObstruction.lean","88","theorem right_is_irreducible_markov_generator : (∀ i, ∑ j, generator rightContext i j = 0) ∧ DirectlyIrreducible (generator rightContext) := ⟨generator_row_sum_zero rightContext, right_generator_directly_irreducible⟩ /-- Exact row-generator and one-step irreducibility certificate for `L`. -/ theorem left_is_irreducible_markov_generator : (∀ i, ∑ j, generator leftContext i j = 0) ∧ DirectlyIrreducible (generator leftContext) := ⟨generator_row_sum_zero leftContext, left_generator_directly_irreducible⟩ /-! ## Exact local invariant packet -/ structure LocalInvariants where p : ℚ q : ℚ alpha : ℚ piU : ℚ piV : ℚ forwardFlow : ℚ backwardFlow : ℚ current : ℚ traffic : ℚ affinityRatio : ℚ insertedMassNumerator : ℚ matchedP1 : ℚ matchedQ1OverS : ℚ matchedP2OverS : ℚ matchedQ2 : ℚ response00 : ℚ response01 : ℚ response10 : ℚ response11 : ℚ resistanceDefect : ℚ deriving DecidableEq /-- The packet is computed from the actual local entries of the context generator and the certified uniform invariant law. `affinityRatio = 2` is the exact argument of the real logarithm used for affinity. -/ def localInvariants (x : Context) : LocalInvariants := let p := generator x 0 1 let q := generator x 1 0 let alpha : ℚ := 1 / 2 let piU := uniform 0 let piV := uniform 1 let f := piU * p let g := piV * q { p := p q := q alpha := alpha piU := piU piV := piV forwardFlow := f backwardFlow := g current := f - g traffic := f + g affinityRatio := p / q insertedMassNumerator := piU * p / alpha + piV * q / (1 - alpha) matchedP1 := p / alpha matchedQ1OverS := 1 - alpha matchedP2OverS := alpha matchedQ2 := q / (1 - alpha) response00 := p response01 := -p response10 := -q response11 := q resistanceDefect := let T := f + g let J := f - g let T1 := (T + J * (1 - alpha)) / alpha let T2 := (T - J * alpha) / (1 - alpha) J ^ 2 / (T * T1 * T2) } theorem right_local_invariants_exact : localInvariants rightContext = { p := 2, q := 1, alpha := 1 / 2, piU := 1 / 3, piV := 1 / 3 forwardFlow := 2 / 3, backwardFlow := 1 / 3 current := 1 / 3, traffic := 1, affinityRatio := 2 insertedMassNumerator := 2","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_local_invariants_exact","OBS/FullCompanion/LocalObstruction.lean","175","theorem left_local_invariants_exact : localInvariants leftContext = { p := 2, q := 1, alpha := 1 / 2, piU := 1 / 3, piV := 1 / 3 forwardFlow := 2 / 3, backwardFlow := 1 / 3 current := 1 / 3, traffic := 1, affinityRatio := 2 insertedMassNumerator := 2 matchedP1 := 4, matchedQ1OverS := 1 / 2 matchedP2OverS := 1 / 2, matchedQ2 := 2 response00 := 2, response01 := -2, response10 := -1, response11 := 1 resistanceDefect := 1 / 35 }","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.same_local_invariants","OBS/FullCompanion/LocalObstruction.lean","187","theorem same_local_invariants : localInvariants rightContext = localInvariants leftContext","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.same_local_affinity","OBS/FullCompanion/LocalObstruction.lean","191","theorem same_local_affinity : Real.log (localInvariants rightContext).affinityRatio = Real.log (localInvariants leftContext).affinityRatio","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_local_affinity_exact","OBS/FullCompanion/LocalObstruction.lean","196","theorem right_local_affinity_exact : Real.log (localInvariants rightContext).affinityRatio = Real.log 2","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_local_affinity_exact","OBS/FullCompanion/LocalObstruction.lean","201","theorem left_local_affinity_exact : Real.log (localInvariants leftContext).affinityRatio = Real.log 2","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.same_inserted_mass_law","OBS/FullCompanion/LocalObstruction.lean","207","theorem same_inserted_mass_law (s : ℚ) (hs : 0 < s) : (localInvariants rightContext).insertedMassNumerator / s = 2 / s ∧ (localInvariants leftContext).insertedMassNumerator / s = 2 / s ∧ 0 < 2 / s","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.det3_eq_matrix_det","OBS/FullCompanion/LocalObstruction.lean","223","theorem det3_eq_matrix_det {R : Type*} [CommRing R] (m : Matrix (Fin 3) (Fin 3) R) : det3 m = Matrix.det m","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.evans_eq_matrix_det","OBS/FullCompanion/LocalObstruction.lean","234","theorem evans_eq_matrix_det (x : Context) (z : ℂ) : evans x z = Matrix.det (shifted x z) := det3_eq_matrix_det (shifted x z) /-- `dᵀ adj(zI-Q) c` for `c=(2,1,0)` and `d=(1,1,0)`, expanded exactly. -/ def updatePoly (x : Context) (z : ℂ) : ℂ := let m := shifted x z 2 * (m 1 1 * m 2 2 - m 1 2 * m 2 1) - (m 0 1 * m 2 2 - m 0 2 * m 2 1) - 2 * (m 1 0 * m 2 2 - m 1 2 * m 2 0) + (m 0 0 * m 2 2 - m 0 2 * m 2 0) def updateC : Fin 3 → ℂ := ![2, 1, 0] def updateD : Fin 3 → ℂ := ![1, 1, 0] /-- The expanded update polynomial really is `dᵀ adj(zI-Q) c`. -/ theorem updatePoly_eq_adjugate_pairing (x : Context) (z : ℂ) : updatePoly x z = dotProduct updateD ((Matrix.adjugate (shifted x z)).mulVec updateC)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_evans_polynomial","OBS/FullCompanion/LocalObstruction.lean","257","theorem right_evans_polynomial (z : ℂ) : evans rightContext z = z * (z ^ 2 + 9 * z + 21)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_evans_polynomial","OBS/FullCompanion/LocalObstruction.lean","262","theorem left_evans_polynomial (z : ℂ) : evans leftContext z = z * (z + 5) * (z + 6)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_update_polynomial","OBS/FullCompanion/LocalObstruction.lean","267","theorem right_update_polynomial (z : ℂ) : updatePoly rightContext z = 3 * z ^ 2 + 22 * z + 42","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_update_polynomial","OBS/FullCompanion/LocalObstruction.lean","272","theorem left_update_polynomial (z : ℂ) : updatePoly leftContext z = 3 * z ^ 2 + 26 * z + 60","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.iSqrtThree_sq","OBS/FullCompanion/LocalObstruction.lean","281","theorem iSqrtThree_sq : iSqrtThree ^ 2 = -3","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.iSqrtThree_re","OBS/FullCompanion/LocalObstruction.lean","293","theorem iSqrtThree_re : iSqrtThree.re = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.rightRoot_quadratic","OBS/FullCompanion/LocalObstruction.lean","302","theorem rightRoot_quadratic : rightRoot ^ 2 + 9 * rightRoot + 21 = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_root_exact","OBS/FullCompanion/LocalObstruction.lean","307","theorem right_root_exact : evans rightContext rightRoot = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.rightEvansPrime_at_root","OBS/FullCompanion/LocalObstruction.lean","312","theorem rightEvansPrime_at_root : rightEvansPrime rightRoot = (-3 - 9 * iSqrtThree) / 2","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_root_simple","OBS/FullCompanion/LocalObstruction.lean","321","theorem right_root_simple : rightEvansPrime rightRoot ≠ 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_motion_linearized","OBS/FullCompanion/LocalObstruction.lean","328","theorem right_motion_linearized : rightEvansPrime rightRoot * rightMotion + rightRoot * updatePoly rightContext rightRoot = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_motion_quotient","OBS/FullCompanion/LocalObstruction.lean","343","theorem right_motion_quotient : rightMotion = -(rightRoot * updatePoly rightContext rightRoot) / rightEvansPrime rightRoot","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_motion_real","OBS/FullCompanion/LocalObstruction.lean","353","theorem right_motion_real : rightMotion.re = 5 / 2","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_motion_positive","OBS/FullCompanion/LocalObstruction.lean","356","theorem right_motion_positive : 0 < rightMotion.re","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_root_five_exact","OBS/FullCompanion/LocalObstruction.lean","360","theorem left_root_five_exact : evans leftContext (-5) = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_root_six_exact","OBS/FullCompanion/LocalObstruction.lean","364","theorem left_root_six_exact : evans leftContext (-6) = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_root_five_simple","OBS/FullCompanion/LocalObstruction.lean","368","theorem left_root_five_simple : leftEvansPrime (-5) ≠ 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_root_six_simple","OBS/FullCompanion/LocalObstruction.lean","371","theorem left_root_six_simple : leftEvansPrime (-6) ≠ 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_motion_five_linearized","OBS/FullCompanion/LocalObstruction.lean","374","theorem left_motion_five_linearized : leftEvansPrime (-5) * (-5) + (-5) * updatePoly leftContext (-5) = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_motion_five_quotient","OBS/FullCompanion/LocalObstruction.lean","380","theorem left_motion_five_quotient : (-5 : ℂ) = -((-5) * updatePoly leftContext (-5)) / leftEvansPrime (-5)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_motion_five_negative","OBS/FullCompanion/LocalObstruction.lean","390","theorem left_motion_five_negative : ((-5 : ℂ).re) < 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_motion_six_linearized","OBS/FullCompanion/LocalObstruction.lean","392","theorem left_motion_six_linearized : leftEvansPrime (-6) * 12 + (-6) * updatePoly leftContext (-6) = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.left_motion_six_quotient","OBS/FullCompanion/LocalObstruction.lean","398","theorem left_motion_six_quotient : (12 : ℂ) = -((-6) * updatePoly leftContext (-6)) / leftEvansPrime (-6)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.exists_same_local_data_opposite_motion","OBS/FullCompanion/LocalObstruction.lean","413","theorem exists_same_local_data_opposite_motion : ∃ (r l : Context) (zr zl dr dl : ℂ), DirectlyIrreducible (generator r) ∧ DirectlyIrreducible (generator l) ∧ IsStationaryLaw (generator r) uniform ∧ IsStationaryLaw (generator l) uniform ∧ localInvariants r = localInvariants l ∧ evans r zr = 0 ∧ evans l zl = 0 ∧ rightEvansPrime zr ≠ 0 ∧ leftEvansPrime zl ≠ 0 ∧ rightEvansPrime zr * dr + zr * updatePoly r zr = 0 ∧ leftEvansPrime zl * dl + zl * updatePoly l zl = 0 ∧ 0 < dr.re ∧ dl.re < 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.susceptibility_of_linearized","OBS/FullCompanion/Susceptibility.lean","40","theorem susceptibility_of_linearized (eps z yTc dTx den dz : K) (hden : den ≠ 0) (hlinearized : den * dz + epsNumerator eps z yTc dTx = 0) : dz = -epsNumerator eps z yTc dTx / den","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact scalar susceptibility algebra; differentiated root equation supplied","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.susceptibility_at_contraction","OBS/FullCompanion/Susceptibility.lean","49","theorem susceptibility_at_contraction (z yTc dTx den dz : K) (hden : den ≠ 0) (hlinearized : den * dz + z * yTc * dTx = 0) : dz = -(z * yTc * dTx) / den","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact scalar susceptibility algebra; differentiated root equation supplied","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.susceptibility_in_escape_rate","OBS/FullCompanion/Susceptibility.lean","58","theorem susceptibility_in_escape_rate (s z yTc dTx den dz : K) (hden : den ≠ 0) (hlinearized : den * dz - z / (z + s) ^ 2 * yTc * dTx = 0) : dz = (z / (z + s) ^ 2 * yTc * dTx) / den","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact scalar susceptibility algebra; differentiated root equation supplied","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.relative_susceptibility","OBS/FullCompanion/Susceptibility.lean","67","theorem relative_susceptibility (zRot zRel chiRot chiRel : K) (hRot : zRot = chiRot) (hRel : zRel = chiRel) : zRot - zRel = chiRot - chiRel","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact scalar susceptibility algebra; differentiated root equation supplied","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
